algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Johnson;30;435;denso;44;23;3,677281
Johnson;30;435;denso;44;24;3,632776
Johnson;30;435;denso;44;25;3,561839
Johnson;30;435;denso;44;26;3,912705
Johnson;30;435;denso;44;27;3,712651
Johnson;30;435;denso;44;28;3,720767
Johnson;30;435;denso;44;29;3,567300
Johnson;30;435;denso;44;30;3,667562
Bellman-Ford;60;120;esparso;45;1;11,551276
Bellman-Ford;60;120;esparso;45;2;10,144254
Bellman-Ford;60;120;esparso;45;3;10,237077
Bellman-Ford;60;120;esparso;45;4;12,561031
Bellman-Ford;60;120;esparso;45;5;11,549043
Bellman-Ford;60;120;esparso;45;6;11,167251
Bellman-Ford;60;120;esparso;45;7;11,042898
Bellman-Ford;60;120;esparso;45;8;10,631771
Bellman-Ford;60;120;esparso;45;9;14,498941
Bellman-Ford;60;120;esparso;45;10;14,713962
Bellman-Ford;60;120;esparso;45;11;14,804505
Bellman-Ford;60;120;esparso;45;12;16,025785
Bellman-Ford;60;120;esparso;45;13;10,073508
Bellman-Ford;60;120;esparso;45;14;10,473539
Bellman-Ford;60;120;esparso;45;15;9,883592
Bellman-Ford;60;120;esparso;45;16;10,179376
Bellman-Ford;60;120;esparso;45;17;10,579559
Bellman-Ford;60;120;esparso;45;18;10,003622
Bellman-Ford;60;120;esparso;45;19;10,508753
Bellman-Ford;60;120;esparso;45;20;10,243757
Bellman-Ford;60;120;esparso;45;21;10,355305
Bellman-Ford;60;120;esparso;45;22;10,068907
Bellman-Ford;60;120;esparso;45;23;10,034813
Bellman-Ford;60;120;esparso;45;24;10,223702
Bellman-Ford;60;120;esparso;45;25;10,240518
Bellman-Ford;60;120;esparso;45;26;10,011509
Bellman-Ford;60;120;esparso;45;27;10,026733
Bellman-Ford;60;120;esparso;45;28;10,301900
Bellman-Ford;60;120;esparso;45;29;9,920514
Bellman-Ford;60;120;esparso;45;30;9,859512
Dijkstra;60;120;esparso;45;1;4,621670
Dijkstra;60;120;esparso;45;2;4,511638
Dijkstra;60;120;esparso;45;3;4,956381
Dijkstra;60;120;esparso;45;4;4,491973
Dijkstra;60;120;esparso;45;5;5,037166
Dijkstra;60;120;esparso;45;6;4,883378
Dijkstra;60;120;esparso;45;7;4,876906
Dijkstra;60;120;esparso;45;8;4,469367
Dijkstra;60;120;esparso;45;9;4,718345
Dijkstra;60;120;esparso;45;10;4,813947
Dijkstra;60;120;esparso;45;11;4,696541
Dijkstra;60;120;esparso;45;12;4,658613
Dijkstra;60;120;esparso;45;13;4,364797
Dijkstra;60;120;esparso;45;14;4,428615
Dijkstra;60;120;esparso;45;15;4,328695
Dijkstra;60;120;esparso;45;16;4,332308
Dijkstra;60;120;esparso;45;17;4,168209
Dijkstra;60;120;esparso;45;18;4,363440
Dijkstra;60;120;esparso;45;19;4,125164
Dijkstra;60;120;esparso;45;20;4,580910
Dijkstra;60;120;esparso;45;21;3,976924
Dijkstra;60;120;esparso;45;22;4,223259
Dijkstra;60;120;esparso;45;23;4,265710
Dijkstra;60;120;esparso;45;24;4,224746
Dijkstra;60;120;esparso;45;25;4,343980
Dijkstra;60;120;esparso;45;26;4,253051
Dijkstra;60;120;esparso;45;27;4,031255
Dijkstra;60;120;esparso;45;28;4,366139
Dijkstra;60;120;esparso;45;29;4,153828
Dijkstra;60;120;esparso;45;30;4,276539
Floyd-Warshall;60;120;esparso;45;1;14,576304
Floyd-Warshall;60;120;esparso;45;2;15,137413
Floyd-Warshall;60;120;esparso;45;3;15,130301
Floyd-Warshall;60;120;esparso;45;4;15,628603
Floyd-Warshall;60;120;esparso;45;5;15,665759
Floyd-Warshall;60;120;esparso;45;6;16,685705
Floyd-Warshall;60;120;esparso;45;7;16,762432
Floyd-Warshall;60;120;esparso;45;8;16,653547
Floyd-Warshall;60;120;esparso;45;9;15,720633
Floyd-Warshall;60;120;esparso;45;10;15,489167
Floyd-Warshall;60;120;esparso;45;11;16,613963
Floyd-Warshall;60;120;esparso;45;12;15,869057
Floyd-Warshall;60;120;esparso;45;13;15,743102
Floyd-Warshall;60;120;esparso;45;14;15,682065
Floyd-Warshall;60;120;esparso;45;15;15,588312
Floyd-Warshall;60;120;esparso;45;16;15,210400
Floyd-Warshall;60;120;esparso;45;17;15,766874
Floyd-Warshall;60;120;esparso;45;18;15,960122
Floyd-Warshall;60;120;esparso;45;19;16,322164
Floyd-Warshall;60;120;esparso;45;20;15,697900
Floyd-Warshall;60;120;esparso;45;21;15,814196
Floyd-Warshall;60;120;esparso;45;22;15,740923
Floyd-Warshall;60;120;esparso;45;23;16,131194
Floyd-Warshall;60;120;esparso;45;24;15,832288
Floyd-Warshall;60;120;esparso;45;25;15,600427
Floyd-Warshall;60;120;esparso;45;26;15,750677
Floyd-Warshall;60;120;esparso;45;27;15,474496
Floyd-Warshall;60;120;esparso;45;28;15,516733
Floyd-Warshall;60;120;esparso;45;29;14,981698
Floyd-Warshall;60;120;esparso;45;30;14,968522
Johnson;60;120;esparso;45;1;5,149968
Johnson;60;120;esparso;45;2;5,882203
Johnson;60;120;esparso;45;3;5,358915
Johnson;60;120;esparso;45;4;6,616155
Johnson;60;120;esparso;45;5;5,564787
Johnson;60;120;esparso;45;6;5,541446
Johnson;60;120;esparso;45;7;5,420103
Johnson;60;120;esparso;45;8;5,610439
Johnson;60;120;esparso;45;9;5,061023
Johnson;60;120;esparso;45;10;5,270633
Johnson;60;120;esparso;45;11;5,159775
Johnson;60;120;esparso;45;12;4,945777
Johnson;60;120;esparso;45;13;5,313253
Johnson;60;120;esparso;45;14;5,001628
Johnson;60;120;esparso;45;15;4,978005
Johnson;60;120;esparso;45;16;5,238077
Johnson;60;120;esparso;45;17;4,893138
Johnson;60;120;esparso;45;18;5,213172
Johnson;60;120;esparso;45;19;4,875241
Johnson;60;120;esparso;45;20;4,936812
Johnson;60;120;esparso;45;21;4,990505
Johnson;60;120;esparso;45;22;4,923589
Johnson;60;120;esparso;45;23;5,474016
Johnson;60;120;esparso;45;24;5,093732
Johnson;60;120;esparso;45;25;5,151241
Johnson;60;120;esparso;45;26;5,047232
Johnson;60;120;esparso;45;27;4,910445
Johnson;60;120;esparso;45;28;4,995260
Johnson;60;120;esparso;45;29;6,485727
Johnson;60;120;esparso;45;30;5,539164
Bellman-Ford;60;708;intermediario;46;1;40,905573
Bellman-Ford;60;708;intermediario;46;2;41,063416
Bellman-Ford;60;708;intermediario;46;3;41,717238
Bellman-Ford;60;708;intermediario;46;4;41,398333
Bellman-Ford;60;708;intermediario;46;5;41,883532
Bellman-Ford;60;708;intermediario;46;6;41,259264
Bellman-Ford;60;708;intermediario;46;7;41,549101
Bellman-Ford;60;708;intermediario;46;8;40,739586
Bellman-Ford;60;708;intermediario;46;9;41,003516
Bellman-Ford;60;708;intermediario;46;10;43,140963
Bellman-Ford;60;708;intermediario;46;11;41,381144
Bellman-Ford;60;708;intermediario;46;12;40,699886
Bellman-Ford;60;708;intermediario;46;13;40,039830
Bellman-Ford;60;708;intermediario;46;14;39,823696
Bellman-Ford;60;708;intermediario;46;15;39,184958
Bellman-Ford;60;708;intermediario;46;16;38,721060
Bellman-Ford;60;708;intermediario;46;17;39,703366
Bellman-Ford;60;708;intermediario;46;18;41,062303
Bellman-Ford;60;708;intermediario;46;19;42,386136
Bellman-Ford;60;708;intermediario;46;20;41,319802
Bellman-Ford;60;708;intermediario;46;21;41,797348
Bellman-Ford;60;708;intermediario;46;22;41,612916
Bellman-Ford;60;708;intermediario;46;23;40,827474
Bellman-Ford;60;708;intermediario;46;24;40,282784
Bellman-Ford;60;708;intermediario;46;25;40,866444
Bellman-Ford;60;708;intermediario;46;26;40,693799
Bellman-Ford;60;708;intermediario;46;27;41,062779
Bellman-Ford;60;708;intermediario;46;28;40,903315
Bellman-Ford;60;708;intermediario;46;29;40,566701
Bellman-Ford;60;708;intermediario;46;30;41,802508
Dijkstra;60;708;intermediario;46;1;12,152311
Dijkstra;60;708;intermediario;46;2;11,802782
Dijkstra;60;708;intermediario;46;3;12,043892
Dijkstra;60;708;intermediario;46;4;12,402450
Dijkstra;60;708;intermediario;46;5;11,809710
Dijkstra;60;708;intermediario;46;6;11,605633
Dijkstra;60;708;intermediario;46;7;11,235333
Dijkstra;60;708;intermediario;46;8;10,986221
Dijkstra;60;708;intermediario;46;9;11,317309
Dijkstra;60;708;intermediario;46;10;11,694213
Dijkstra;60;708;intermediario;46;11;10,494779
Dijkstra;60;708;intermediario;46;12;11,008321
Dijkstra;60;708;intermediario;46;13;11,414364
Dijkstra;60;708;intermediario;46;14;11,345776
Dijkstra;60;708;intermediario;46;15;11,250221
Dijkstra;60;708;intermediario;46;16;11,186334
Dijkstra;60;708;intermediario;46;17;11,523871
Dijkstra;60;708;intermediario;46;18;12,002669
Dijkstra;60;708;intermediario;46;19;11,577019
Dijkstra;60;708;intermediario;46;20;12,120320
Dijkstra;60;708;intermediario;46;21;11,983229
Dijkstra;60;708;intermediario;46;22;12,212186
Dijkstra;60;708;intermediario;46;23;12,097852
Dijkstra;60;708;intermediario;46;24;12,137923
Dijkstra;60;708;intermediario;46;25;12,444843
Dijkstra;60;708;intermediario;46;26;12,236228
Dijkstra;60;708;intermediario;46;27;12,802234
Dijkstra;60;708;intermediario;46;28;12,244793
Dijkstra;60;708;intermediario;46;29;12,166090
Dijkstra;60;708;intermediario;46;30;13,619349
Floyd-Warshall;60;708;intermediario;46;1;30,538176
Floyd-Warshall;60;708;intermediario;46;2;29,756328
Floyd-Warshall;60;708;intermediario;46;3;28,965044
Floyd-Warshall;60;708;intermediario;46;4;28,716620
Floyd-Warshall;60;708;intermediario;46;5;28,225752
Floyd-Warshall;60;708;intermediario;46;6;29,047666
Floyd-Warshall;60;708;intermediario;46;7;28,908752
Floyd-Warshall;60;708;intermediario;46;8;28,638856
Floyd-Warshall;60;708;intermediario;46;9;28,005667
Floyd-Warshall;60;708;intermediario;46;10;29,477117
Floyd-Warshall;60;708;intermediario;46;11;28,700339
Floyd-Warshall;60;708;intermediario;46;12;30,067858
Floyd-Warshall;60;708;intermediario;46;13;30,575074
Floyd-Warshall;60;708;intermediario;46;14;28,479810
Floyd-Warshall;60;708;intermediario;46;15;27,741398
Floyd-Warshall;60;708;intermediario;46;16;28,431797
