algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Dijkstra;100;1980;intermediario;49;5;39,870363
Dijkstra;100;1980;intermediario;49;6;40,959475
Dijkstra;100;1980;intermediario;49;7;40,685395
Dijkstra;100;1980;intermediario;49;8;39,368934
Dijkstra;100;1980;intermediario;49;9;40,950785
Dijkstra;100;1980;intermediario;49;10;38,994148
Dijkstra;100;1980;intermediario;49;11;39,365552
Dijkstra;100;1980;intermediario;49;12;39,379240
Dijkstra;100;1980;intermediario;49;13;39,825900
Dijkstra;100;1980;intermediario;49;14;39,264148
Dijkstra;100;1980;intermediario;49;15;39,283432
Dijkstra;100;1980;intermediario;49;16;40,334307
Dijkstra;100;1980;intermediario;49;17;39,934423
Dijkstra;100;1980;intermediario;49;18;41,750279
Dijkstra;100;1980;intermediario;49;19;39,622351
Dijkstra;100;1980;intermediario;49;20;38,166568
Dijkstra;100;1980;intermediario;49;21;39,637415
Dijkstra;100;1980;intermediario;49;22;38,901601
Dijkstra;100;1980;intermediario;49;23;39,904268
Dijkstra;100;1980;intermediario;49;24;40,422560
Dijkstra;100;1980;intermediario;49;25;39,907267
Dijkstra;100;1980;intermediario;49;26;40,396808
Dijkstra;100;1980;intermediario;49;27;38,992000
Dijkstra;100;1980;intermediario;49;28;39,592038
Dijkstra;100;1980;intermediario;49;29;41,581701
Dijkstra;100;1980;intermediario;49;30;39,607849
Dijkstra;100;4950;denso;50;1;68,632124
Dijkstra;100;4950;denso;50;2;70,262403
Dijkstra;100;4950;denso;50;3;69,333404
Dijkstra;100;4950;denso;50;4;68,278357
Dijkstra;100;4950;denso;50;5;66,458999
Dijkstra;100;4950;denso;50;6;68,921407
Dijkstra;100;4950;denso;50;7;68,600275
Dijkstra;100;4950;denso;50;8;66,332763
Dijkstra;100;4950;denso;50;9;68,463609
Dijkstra;100;4950;denso;50;10;67,484332
Dijkstra;100;4950;denso;50;11;70,330078
Dijkstra;100;4950;denso;50;12;70,186219
Dijkstra;100;4950;denso;50;13;67,915183
Dijkstra;100;4950;denso;50;14;68,991024
Dijkstra;100;4950;denso;50;15;67,448211
Dijkstra;100;4950;denso;50;16;67,920738
Dijkstra;100;4950;denso;50;17;67,609124
Dijkstra;100;4950;denso;50;18;69,453647
Dijkstra;100;4950;denso;50;19;68,540146
Dijkstra;100;4950;denso;50;20;66,724117
Dijkstra;100;4950;denso;50;21;67,327141
Dijkstra;100;4950;denso;50;22;67,378540
Dijkstra;100;4950;denso;50;23;69,028347
Dijkstra;100;4950;denso;50;24;70,169160
Dijkstra;100;4950;denso;50;25;69,024313
Dijkstra;100;4950;denso;50;26;68,439688
Dijkstra;100;4950;denso;50;27;68,784189
Dijkstra;100;4950;denso;50;28;70,069321
Dijkstra;100;4950;denso;50;29;67,892362
Dijkstra;100;4950;denso;50;30;69,492153
Dijkstra;150;300;esparso;51;1;27,036553
Dijkstra;150;300;esparso;51;2;27,738963
Dijkstra;150;300;esparso;51;3;27,756001
Dijkstra;150;300;esparso;51;4;27,215034
Dijkstra;150;300;esparso;51;5;27,692459
Dijkstra;150;300;esparso;51;6;27,790036
Dijkstra;150;300;esparso;51;7;27,474119
Dijkstra;150;300;esparso;51;8;28,553971
Dijkstra;150;300;esparso;51;9;28,990366
Dijkstra;150;300;esparso;51;10;28,184247
Dijkstra;150;300;esparso;51;11;27,714783
Dijkstra;150;300;esparso;51;12;28,960265
Dijkstra;150;300;esparso;51;13;28,505151
Dijkstra;150;300;esparso;51;14;32,787404
Dijkstra;150;300;esparso;51;15;28,343305
Dijkstra;150;300;esparso;51;16;28,505022
Dijkstra;150;300;esparso;51;17;27,636300
Dijkstra;150;300;esparso;51;18;26,970655
Dijkstra;150;300;esparso;51;19;27,669380
Dijkstra;150;300;esparso;51;20;26,761795
Dijkstra;150;300;esparso;51;21;26,206787
Dijkstra;150;300;esparso;51;22;27,072458
Dijkstra;150;300;esparso;51;23;28,342650
Dijkstra;150;300;esparso;51;24;28,827874
Dijkstra;150;300;esparso;51;25;27,503909
Dijkstra;150;300;esparso;51;26;27,072978
Dijkstra;150;300;esparso;51;27;27,948277
Dijkstra;150;300;esparso;51;28;27,493749
Dijkstra;150;300;esparso;51;29;26,683441
Dijkstra;150;300;esparso;51;30;26,893367
Dijkstra;150;4470;intermediario;52;1;113,762817
Dijkstra;150;4470;intermediario;52;2;114,555394
Dijkstra;150;4470;intermediario;52;3;114,971558
Dijkstra;150;4470;intermediario;52;4;114,197978
Dijkstra;150;4470;intermediario;52;5;115,989502
Dijkstra;150;4470;intermediario;52;6;115,921881
Dijkstra;150;4470;intermediario;52;7;115,020599
Dijkstra;150;4470;intermediario;52;8;116,224230
Dijkstra;150;4470;intermediario;52;9;117,082541
Dijkstra;150;4470;intermediario;52;10;116,939132
Dijkstra;150;4470;intermediario;52;11;114,072915
Dijkstra;150;4470;intermediario;52;12;116,204183
Dijkstra;150;4470;intermediario;52;13;115,336930
Dijkstra;150;4470;intermediario;52;14;118,172291
Dijkstra;150;4470;intermediario;52;15;117,839748
Dijkstra;150;4470;intermediario;52;16;115,212894
Dijkstra;150;4470;intermediario;52;17;116,226343
Dijkstra;150;4470;intermediario;52;18;118,310004
Dijkstra;150;4470;intermediario;52;19;116,585179
Dijkstra;150;4470;intermediario;52;20;116,071262
Dijkstra;150;4470;intermediario;52;21;115,507813
Dijkstra;150;4470;intermediario;52;22;116,202076
Dijkstra;150;4470;intermediario;52;23;119,782228
Dijkstra;150;4470;intermediario;52;24;115,390294
Dijkstra;150;4470;intermediario;52;25;114,313407
Dijkstra;150;4470;intermediario;52;26;116,510245
Dijkstra;150;4470;intermediario;52;27;118,713263
Dijkstra;150;4470;intermediario;52;28;117,680099
Dijkstra;150;4470;intermediario;52;29;115,339859
Dijkstra;150;4470;intermediario;52;30;115,990179
Dijkstra;150;11175;denso;53;1;211,227621
Dijkstra;150;11175;denso;53;2;213,382487
Dijkstra;150;11175;denso;53;3;209,945861
Dijkstra;150;11175;denso;53;4;211,010230
Dijkstra;150;11175;denso;53;5;210,596387
Dijkstra;150;11175;denso;53;6;216,661767
Dijkstra;150;11175;denso;53;7;210,184667
Dijkstra;150;11175;denso;53;8;215,974216
Dijkstra;150;11175;denso;53;9;212,818626
Dijkstra;150;11175;denso;53;10;206,138928
Dijkstra;150;11175;denso;53;11;218,034438
Dijkstra;150;11175;denso;53;12;209,629482
Dijkstra;150;11175;denso;53;13;213,387284
Dijkstra;150;11175;denso;53;14;207,763508
Dijkstra;150;11175;denso;53;15;211,017384
Dijkstra;150;11175;denso;53;16;209,081072
Dijkstra;150;11175;denso;53;17;208,347741
Dijkstra;150;11175;denso;53;18;211,426150
Dijkstra;150;11175;denso;53;19;210,825751
Dijkstra;150;11175;denso;53;20;209,679331
Dijkstra;150;11175;denso;53;21;204,264446
Dijkstra;150;11175;denso;53;22;211,624792
Dijkstra;150;11175;denso;53;23;210,916646
Dijkstra;150;11175;denso;53;24;209,708837
Dijkstra;150;11175;denso;53;25;212,669624
Dijkstra;150;11175;denso;53;26;207,769432
Dijkstra;150;11175;denso;53;27;213,245067
Dijkstra;150;11175;denso;53;28;211,451306
Dijkstra;150;11175;denso;53;29;213,351278
Dijkstra;150;11175;denso;53;30;211,549276
